Time resolution is 1 ps
t=             1510000, clk=1, reset=0, enable=1, we=1, wra=18, wrd=  0, t1attempts=019, t1fails=000, t2attempts=000, t2fails=000
t=             1520000, clk=0, reset=0, enable=1, we=0, wra=18, wrd=  0, t1attempts=019, t1fails=000, t2attempts=000, t2fails=000
t=             1530000, clk=1, reset=0, enable=1, we=0, wra=18, wrd=  0, t1attempts=019, t1fails=000, t2attempts=000, t2fails=000
t=             1540000, clk=0, reset=0, enable=1, we=0, wra=18, wrd=  0, t1attempts=019, t1fails=000, t2attempts=000, t2fails=000
t=             1550000, clk=1, reset=0, enable=1, we=0, wra=18, wrd=  0, t1attempts=019, t1fails=000, t2attempts=000, t2fails=000
t=             1560000, clk=0, reset=0, enable=1, we=1, wra=19, wrd=  0, t1attempts=01a, t1fails=000, t2attempts=000, t2fails=000
t=             1570000, clk=1, reset=0, enable=1, we=1, wra=19, wrd=  0, t1attempts=01a, t1fails=000, t2attempts=000, t2fails=000
t=             1580000, clk=0, reset=0, enable=1, we=0, wra=19, wrd=  0, t1attempts=01a, t1fails=000, t2attempts=000, t2fails=000
t=             1590000, clk=1, reset=0, enable=1, we=0, wra=19, wrd=  0, t1attempts=01a, t1fails=000, t2attempts=000, t2fails=000
t=             1600000, clk=0, reset=0, enable=1, we=0, wra=19, wrd=  0, t1attempts=01a, t1fails=000, t2attempts=000, t2fails=000
t=             1610000, clk=1, reset=0, enable=1, we=0, wra=19, wrd=  0, t1attempts=01a, t1fails=000, t2attempts=000, t2fails=000
t=             1620000, clk=0, reset=0, enable=1, we=1, wra=1a, wrd=  0, t1attempts=01b, t1fails=000, t2attempts=000, t2fails=000
t=             1630000, clk=1, reset=0, enable=1, we=1, wra=1a, wrd=  0, t1attempts=01b, t1fails=000, t2attempts=000, t2fails=000
t=             1640000, clk=0, reset=0, enable=1, we=0, wra=1a, wrd=  0, t1attempts=01b, t1fails=000, t2attempts=000, t2fails=000
t=             1650000, clk=1, reset=0, enable=1, we=0, wra=1a, wrd=  0, t1attempts=01b, t1fails=000, t2attempts=000, t2fails=000
